City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
79,Fare,-16.7,-151.0167,79.77,light rain,76,62,14.18,PF
80,Sukhumi,43.0033,41.0153,52.34,clear sky,76,1,4.63,GE
81,Hermanus,-34.4187,19.2345,64.8,overcast clouds,78,100,7.61,ZA
82,Solwezi,-12.1688,26.3894,71.24,overcast clouds,53,88,5.21,ZM
83,Talnakh,69.4865,88.3972,11.08,overcast clouds,96,94,6.17,RU
84,Banatsko Novo Selo,44.9907,20.7848,51.53,scattered clouds,67,32,0.04,RS
85,Grindavik,63.8424,-22.4338,43.27,overcast clouds,100,100,18.41,IS
86,Montevarchi,43.5276,11.5689,69.6,clear sky,51,0,2.68,IT
87,Tabory,58.5198,64.5495,29.48,overcast clouds,84,100,6.46,RU
88,Tual,-5.6667,132.75,84.43,broken clouds,72,74,5.06,ID
89,Kavieng,-2.5744,150.7967,82.08,overcast clouds,74,92,7.72,PG
90,Tsiroanomandidy,-18.7667,46.0333,72.18,overcast clouds,65,91,4.14,MG
91,Bredasdorp,-34.5322,20.0403,64.35,overcast clouds,78,100,7.07,ZA
92,Puerto Ayora,-0.7393,-90.3518,75.16,overcast clouds,88,99,5.01,EC
93,Katsuura,35.1333,140.3,57.69,overcast clouds,66,98,13.27,JP
94,Poum,-20.2333,164.0167,78.1,clear sky,77,0,4.25,NC
95,Port Hardy,50.6996,-127.4199,48.38,light rain,100,100,13.8,CA
96,Collie,-33.3667,116.15,43.2,overcast clouds,91,100,9.62,AU
97,Victor Harbor,-35.5667,138.6167,50.68,overcast clouds,85,100,11.9,AU
98,Bambous Virieux,-20.3428,57.7575,73.65,light intensity shower rain,78,75,4.61,MU
99,Wenling,28.3669,121.36,62.92,overcast clouds,78,99,9.31,CN
100,Beloha,-25.1667,45.05,69.33,overcast clouds,78,100,17.18,MG
101,Rio Gallegos,-51.6226,-69.2181,50.05,light intensity shower rain,50,40,32.21,AR
102,Tasiilaq,65.6145,-37.6368,34.63,snow,98,100,17.74,GL
103,Trelleborg,55.3751,13.1569,55.35,overcast clouds,87,98,7.7,SE
104,Kloulklubed,7.0419,134.2556,77.5,overcast clouds,77,100,8.05,PW
105,Saint Anthony,45.0205,-93.218,68.67,few clouds,47,12,5.01,US
106,Cuamba,-14.8031,36.5372,78.33,overcast clouds,54,100,8.14,MZ
107,Campos,-21.75,-41.3,84.25,few clouds,65,20,23.02,BR
108,Honiara,-9.4333,159.95,80.04,scattered clouds,84,39,2.91,SB
109,Tuktoyaktuk,69.4541,-133.0374,14.0,light snow,79,100,13.8,CA
110,Lingao,19.9103,109.6859,72.01,overcast clouds,82,100,2.37,CN
111,Ondangwa,-17.9167,15.95,82.4,overcast clouds,23,100,14.97,NA
112,Veraval,20.9,70.3667,78.8,clear sky,55,0,6.26,IN
113,Zhigansk,66.7697,123.3711,4.73,overcast clouds,88,100,7.94,RU
114,Kirakira,-10.4544,161.9205,80.13,broken clouds,81,80,3.78,SB
115,Tuatapere,-46.1333,167.6833,54.9,overcast clouds,86,100,8.63,NZ
116,Juneau,58.3019,-134.4197,37.4,light rain and snow,92,100,12.66,US
117,Pak Phanang,8.3511,100.202,79.02,scattered clouds,83,27,7.16,TH
118,Thompson,55.7435,-97.8558,44.76,broken clouds,53,75,5.75,CA
119,Port Augusta,-32.5,137.7667,62.82,light rain,80,100,23.29,AU
120,Sayyan,15.1718,44.3244,52.72,scattered clouds,32,49,3.65,YE
121,Komsomolskiy,40.4272,71.7189,50.72,overcast clouds,76,90,6.91,UZ
122,Araouane,18.9048,-3.5265,79.47,clear sky,13,0,7.56,ML
123,Betare Oya,5.6,14.0833,73.29,light rain,78,97,3.98,CM
124,Port Lincoln,-34.7333,135.8667,57.87,overcast clouds,82,100,19.39,AU
125,Alihe,50.5667,123.7167,28.58,overcast clouds,56,100,2.39,CN
126,Kruisfontein,-34.0033,24.7314,65.88,scattered clouds,60,50,8.01,ZA
127,Sinnamary,5.3833,-52.95,77.31,heavy intensity rain,92,100,9.71,GF
128,Kaeo,-35.1,173.7833,66.33,overcast clouds,97,100,8.46,NZ
129,Ancud,-41.8697,-73.8203,48.78,scattered clouds,61,27,19.53,CL
130,Mizdah,31.4451,12.9801,63.5,clear sky,67,0,6.91,LY
131,Erzin,36.9559,36.2,67.69,clear sky,30,0,6.08,TR
132,Fortuna,40.5982,-124.1573,71.92,clear sky,49,0,5.75,US
133,Puerto Gaitan,4.3133,-72.0816,86.76,heavy intensity rain,63,98,9.71,CO
134,Muros,42.7762,-9.0603,60.84,overcast clouds,82,95,12.17,ES
135,Praya,14.9215,-23.5087,86.54,clear sky,28,0,16.11,CV
136,Vila Franca Do Campo,37.7167,-25.4333,64.81,overcast clouds,67,100,5.64,PT
137,Midsalip,8.0,123.2667,66.42,light rain,97,100,4.29,PH
138,Mazagao,-0.115,-51.2894,93.25,overcast clouds,45,96,7.83,BR
139,Tateyama,34.9833,139.8667,58.1,broken clouds,65,83,13.8,JP
140,Kaarina,60.4072,22.369,47.01,scattered clouds,70,40,10.36,FI
141,Cabo San Lucas,22.8909,-109.9124,90.61,clear sky,63,8,3.0,MX
142,Kodiak,57.79,-152.4072,35.58,moderate rain,98,100,17.81,US
